Player_ID,Player Name,Position,Nationality,Age,Height,Year,Versus,Match_Date,Winner,Serve_Points,Serve_Errors,Serve_Attempts,Total_Serves,Set_Successes,Set_Errors,Set_Attempts,Total_Sets,Attack_Success,Attack Errors,Attack_Attempts,Total_Attacks,Block_Successful,Block_Errors,Block_Rebounds,Total_Blocks,Reception_Successful,Reception_Errors,Reception_Attemps,Total_Receptions,Dig_Success,Dig_Errors,Dig_Attempts,Total_Digs
173849.0,Menezes Oliveira de Souza Ana Cristina,OH,Brazil,17.0,192,2021,Dominican Republic,2021-05-26,True,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
173849.0,Menezes Oliveira de Souza Ana Cristina,OH,Brazil,17.0,192,2021,USA,2021-05-27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173849.0,Menezes Oliveira de Souza Ana Cristina,OH,Brazil,17.0,192,2021,Italy,2021-06-02,True,0,0,3,3,0,0,0,0,0,0,5,5,0,0,0,0,2,3,2,7,0,0,1,1
173849.0,Menezes Oliveira de Souza Ana Cristina,OH,Brazil,17.0,192,2021,Serbia,2021-06-06,True,1,1,2,4,0,0,0,0,3,1,3,7,1,1,0,2,0,0,3,3,1,1,0,2
173849.0,Menezes Oliveira de Souza Ana Cristina,OH,Brazil,17.0,192,2021,China,2021-06-08,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173849.0,Menezes Oliveira de Souza Ana Cristina,OH,Brazil,17.0,192,2021,Poland,2021-06-12,True,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173849.0,Menezes Oliveira de Souza Ana Cristina,OH,Brazil,17.0,192,2021,Germany,2021-06-13,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173849.0,Menezes Oliveira de Souza Ana Cristina,OH,Brazil,17.0,192,2021,USA,2021-06-25,False,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
119241.0,Brait Camila,L,Brazil,33.0,170,2021,Canada,2021-05-25,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,12,11,3,0,14
119241.0,Brait Camila,L,Brazil,33.0,170,2021,Dominican Republic,2021-05-26,True,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,8,0,5,13,6,1,0,7
119241.0,Brait Camila,L,Brazil,33.0,170,2021,USA,2021-05-27,False,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,9,1,18,28,16,1,2,19
